Hostname,Domain,Label,Model,VLAN,Mgmt IP,Gateway,Length,Cable Length,Distribution
wifi1,access.npf,WIFI1.D1.ACCESS.NPF,WS-C2960S,12,10.255.201.2,10.255.201.1,33,1,d1
wifi2,access.npf,WIFI2.D1.ACCESS.NPF,WS-C2960S,12,10.255.201.3,10.255.201.1,33,50,d1
wifi3,access.npf,WIFI3.D1.ACCESS.NPF,WS-C2960S,12,10.255.201.4,10.255.201.1,33,50,d1
wifi1,access.npf,WIFI1.D2.ACCESS.NPF,WS-C2960S,12,10.255.202.2,10.255.202.1,33,1,d2
wifi1,access.npf,WIFI1.D3.ACCESS.NPF,WS-C2960S,12,10.255.203.2,10.255.203.1,33,1,d3
wifi1,access.npf,WIFI1.D4.ACCESS.NPF,WS-C2960S,12,10.255.204.2,10.255.204.1,33,1,d4
wifi1,access.npf,WIFI1.D5.ACCESS.NPF,WS-C2960S,12,10.255.205.2,10.255.205.1,33,1,d5
wifi1,access.npf,WIFI1.D6.ACCESS.NPF,WS-C2960S,12,10.255.206.2,10.255.206.1,33,1,d6
wifi1,access.npf,WIFI1.D7.ACCESS.NPF,WS-C2960S,12,10.255.207.2,10.255.207.1,33,1,d7
wifi1,access.npf,WIFI1.D8.ACCESS.NPF,WS-C2960S,12,10.255.204.2,10.255.204.1,33,1,d8
wifi1,access.npf,WIFI1.D9.ACCESS.NPF,WS-C2960S,12,10.255.209.2,10.255.209.1,33,1,d9
wifi1,access.npf,WIFI1.D10.ACCESS.NPF,WS-C2960S,12,10.255.210.2,10.255.210.1,33,1,d10
wifi1,access.npf,WIFI1.D11.ACCESS.NPF,WS-C2960S,12,10.255.211.2,10.255.211.1,33,1,d11
wifi1,access.npf,WIFI1.D12.ACCESS.NPF,WS-C2960S,12,10.255.212.2,10.255.212.1,33,1,d12
wifi1,access.npf,WIFI1.E1.ACCESS.NPF,WS-C2960S,12,10.255.254.2,10.255.254.1,33,1,e1
wifi1,access.npf,WIFI1.E2.ACCESS.NPF,WS-C2960S,12,10.255.253.2,10.255.253.1,33,1,e2
wifi2,access.npf,WIFI2.E2.ACCESS.NPF,WS-C2960S,12,10.255.252.200,10.255.252.1,33,100,e3
wifi1,access.npf,WIFI1.E3.ACCESS.NPF,WS-C2960S,12,10.255.252.2,10.255.252.1,33,1,e3
wifi1,access.npf,WIFI1.E4.ACCESS.NPF,WS-C2960S,12,10.255.251.2,10.255.251.1,33,1,e4
aa1,access.npf,AA1.ACCESS.NPF,WS-C2950T-24,11,10.255.207.10,10.255.207.1,33,50,d7
aa2,access.npf,AA2.ACCESS.NPF,WS-C2950T-24,11,10.255.207.11,10.255.207.1,33,30,d7
aa3,access.npf,AA3.ACCESS.NPF,WS-C2950T-24,15,10.255.207.12,10.255.207.1,33,10,d7
ab1,access.npf,AB1.ACCESS.NPF,WS-C2950T-24,11,10.255.207.13,10.255.207.1,33,50,d7
ab2,access.npf,AB2.ACCESS.NPF,WS-C2950T-24,11,10.255.207.14,10.255.207.1,33,30,d7
ac1,access.npf,AC1.ACCESS.NPF,WS-C2950T-24,12,10.255.207.15,10.255.207.1,33,30,d7
ac2,access.npf,AC2.ACCESS.NPF,WS-C2950T-24,12,10.255.207.16,10.255.207.1,33,20,d7
ad1,access.npf,AD1.ACCESS.NPF,WS-C2950T-24,12,10.255.207.17,10.255.207.1,33,20,d7
ad2,access.npf,AD2.ACCESS.NPF,WS-C2950T-24,12,10.255.207.18,10.255.207.1,33,20,d7
ae1,access.npf,AE1.ACCESS.NPF,WS-C2950T-24,13,10.255.207.19,10.255.207.1,33,30,d7
ae2,access.npf,AE2.ACCESS.NPF,WS-C2950T-24,13,10.255.207.20,10.255.207.1,33,20,d7
af1,access.npf,AF1.ACCESS.NPF,WS-C2950T-24,13,10.255.207.21,10.255.207.1,33,50,d7
af2,access.npf,AF2.ACCESS.NPF,WS-C2950T-24,13,10.255.207.22,10.255.207.1,33,30,d7
ag1,access.npf,AG1.ACCESS.NPF,WS-C2950T-24,14,10.255.207.23,10.255.207.1,33,50,d7
ag2,access.npf,AG2.ACCESS.NPF,WS-C2950T-24,14,10.255.207.24,10.255.207.1,33,30,d7
ca1,access.npf,CA1.ACCESS.NPF,WS-C2950T-24,15,10.255.207.25,10.255.207.1,33,20,d7
cb1,access.npf,CB1.ACCESS.NPF,WS-C2950T-24,15,10.255.207.26,10.255.207.1,33,20,d7
cc1,access.npf,CC1.ACCESS.NPF,WS-C2950T-24,15,10.255.207.27,10.255.207.1,33,20,d7
cd1,access.npf,CD1.ACCESS.NPF,WS-C2950T-24,15,10.255.207.28,10.255.207.1,33,30,d7
ah1,access.npf,AH1.ACCESS.NPF,WS-C2950T-24,11,10.255.208.10,10.255.208.1,33,50,d8
ah2,access.npf,AH2.ACCESS.NPF,WS-C2950T-24,11,10.255.208.11,10.255.208.1,33,30,d8
aj1,access.npf,AJ1.ACCESS.NPF,WS-C2950T-24,11,10.255.208.12,10.255.208.1,33,50,d8
aj2,access.npf,AJ2.ACCESS.NPF,WS-C2950T-24,11,10.255.208.13,10.255.208.1,33,30,d8
ak1,access.npf,AK1.ACCESS.NPF,WS-C2950T-24,12,10.255.208.14,10.255.208.1,33,30,d8
ak2,access.npf,AK2.ACCESS.NPF,WS-C2950T-24,12,10.255.208.15,10.255.208.1,33,20,d8
al1,access.npf,AL1.ACCESS.NPF,WS-C2950T-24,12,10.255.208.16,10.255.208.1,33,30,d8
al2,access.npf,AL2.ACCESS.NPF,WS-C2950T-24,12,10.255.208.17,10.255.208.1,33,20,d8
am1,access.npf,AM1.ACCESS.NPF,WS-C2950T-24,13,10.255.208.18,10.255.208.1,33,30,d8
am2,access.npf,AM2.ACCESS.NPF,WS-C2950T-24,13,10.255.208.19,10.255.208.1,33,20,d8
an1,access.npf,AN1.ACCESS.NPF,WS-C2950T-24,13,10.255.208.20,10.255.208.1,33,50,d8
an2,access.npf,AN2.ACCESS.NPF,WS-C2950T-24,13,10.255.208.21,10.255.208.1,33,30,d8
ap1,access.npf,AP1.ACCESS.NPF,WS-C2950T-24,14,10.255.208.22,10.255.208.1,33,50,d8
ap2,access.npf,AP2.ACCESS.NPF,WS-C2950T-24,14,10.255.208.23,10.255.208.1,33,30,d8
ce1,access.npf,CE1.ACCESS.NPF,WS-C2950T-24,14,10.255.208.24,10.255.208.1,33,20,d8
cf1,access.npf,CF1.ACCESS.NPF,WS-C2950T-24,14,10.255.208.25,10.255.208.1,33,20,d8
cg1,access.npf,CG1.ACCESS.NPF,WS-C2950T-24,11,10.255.209.10,10.255.209.1,33,10,d9
ch1,access.npf,CH1.ACCESS.NPF,WS-C2950T-24,11,10.255.209.11,10.255.209.1,33,20,d9
