Hostname,Domain,Label,Model,VLAN,Mgmt IP,Gateway,Length,Cable Length,Distribution
cr1,access.npf,CR1.ACCESS.NPF,WS-C2950T-24,12,10.255.254.2,10.255.254.1,,,e1
ss1,access.npf,SS1.ACCESS.NPF,WS-C2950T-24,13,10.255.254.3,10.255.254.1,,,e1
crew1,access.npf,CREW1.ACCESS.NPF,WS-C2950T-24,12,10.255.254.4,10.255.254.1,,,e1
crew2,access.npf,CREW2.ACCESS.NPF,WS-C2950T-24,12,10.255.254.5,10.255.254.1,,,e1
crew3,access.npf,CREW3.ACCESS.NPF,WS-C2950T-24,12,10.255.254.6,10.255.254.1,,,e1
crew4,access.npf,CREW4.ACCESS.NPF,WS-C2950T-24,12,10.255.254.7,10.255.254.1,,,e1
crew5,access.npf,CREW5.ACCESS.NPF,WS-C2950T-24,12,10.255.254.8,10.255.254.1,,,e1
crew6,access.npf,CREW6.ACCESS.NPF,WS-C2950T-24,12,10.255.254.9,10.255.254.1,,,e1
crew7,access.npf,CREW7.ACCESS.NPF,WS-C2950T-24,12,10.255.254.10,10.255.254.1,,,e1
crew8,access.npf,CREW8.ACCESS.NPF,WS-C2950T-24,12,10.255.254.11,10.255.254.1,,,e1
shop1,access.npf,SHOP1.ACCESS.NPF,WS-C2950T-24,11,10.255.253.2,10.255.253.1,6,10,e2
shop2,access.npf,SHOP2.ACCESS.NPF,WS-C2950T-24,11,10.255.253.3,10.255.253.1,10,20,e2
shop3,access.npf,SHOP3.ACCESS.NPF,WS-C2950T-24,11,10.255.253.4,10.255.253.1,,,e2
billet,access.npf,BILLET.ACCESS.NPF,WS-C2950T-24,12,10.255.253.5,10.255.253.1,100,100,e2
pro1,access.npf,PRO1.ACCESS.NPF,WS-C2950T-24,11,10.255.252.2,10.255.252.1,,,e3
pro2,access.npf,PRO2.ACCESS.NPF,WS-C2950T-24,11,10.255.252.3,10.255.252.1,,,e3
cast,access.npf,CAST.ACCESS.NPF,WS-C2950T-24,11,10.255.251.2,10.255.251.1,,,e4
scene,access.npf,SCENE.ACCESS.NPF,WS-C2950T-24,11,10.255.251.3,10.255.251.1,,,e4
expo1.e4,access.npf,EXPO1.E4.ACCESS.NPF,WS-C2950T-24,12,10.255.251.4,10.255.251.1,,,e4
expo2.e4,access.npf,EXPO2.E4.ACCESS.NPF,WS-C2950T-24,12,10.255.251.5,10.255.251.1,,,e4
expo1.d5,access.npf,EXPO1.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.2,10.255.205.1,,,d5
expo2.d5,access.npf,EXPO2.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.3,10.255.205.1,,,d5
expo3.d5,access.npf,EXPO3.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.4,10.255.205.1,,,d5
expo4.d5,access.npf,EXPO4.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.5,10.255.205.1,,,d5
expo5.d5,access.npf,EXPO5.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.6,10.255.205.1,,,d5
expo6.d5,access.npf,EXPO6.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.7,10.255.205.1,,,d5
expo7.d5,access.npf,EXPO7.D5.ACCESS.NPF,WS-C2950T-24,11,10.255.205.8,10.255.205.1,,,d5
helpdesk1,access.npf,HELPDESK1.ACCESS.NPF,WS-C2950T-24,12,10.255.205.9,10.255.205.1,,,d5
helpdesk2,access.npf,HELPDESK2.ACCESS.NPF,WS-C2950T-24,12,10.255.205.10,10.255.205.1,,,d5
helpdesk3,access.npf,HELPDESK3.ACCESS.NPF,WS-C2950T-24,12,10.255.205.11,10.255.205.1,,,d5
gamecrew1,access.npf,GAMECREW1.ACCESS.NPF,WS-C2950T-24,11,10.255.206.2,10.255.206.1,,,d6
gamecrew2,access.npf,GAMECREW2.ACCESS.NPF,WS-C2950T-24,11,10.255.206.3,10.255.206.1,,,d6
gamecrew3,access.npf,GAMECREW3.ACCESS.NPF,WS-C2950T-24,11,10.255.206.4,10.255.206.1,,,d6
gamecrew4,access.npf,GAMECREW4.ACCESS.NPF,WS-C2950T-24,11,10.255.206.5,10.255.206.1,,,d6
gamecrew5,access.npf,GAMECREW5.ACCESS.NPF,WS-C2950T-24,11,10.255.206.6,10.255.206.1,,,d6
gamecrew6,access.npf,GAMECREW6.ACCESS.NPF,WS-C2950T-24,11,10.255.206.7,10.255.206.1,,,d6
gamecrew7,access.npf,GAMECREW7.ACCESS.NPF,WS-C2950T-24,11,10.255.206.8,10.255.206.1,,,d6
gamecrew8,access.npf,GAMECREW8.ACCESS.NPF,WS-C2950T-24,11,10.255.206.9,10.255.206.1,,,d6
gamecrew9,access.npf,GAMECREW9.ACCESS.NPF,WS-C2950T-24,11,10.255.206.10,10.255.206.1,,,d6
gamecrew10,access.npf,GAMECREW10.ACCESS.NPF,WS-C2950T-24,11,10.255.206.11,10.255.206.1,,,d6
gamecrew11,access.npf,GAMECREW11.ACCESS.NPF,WS-C2950T-24,11,10.255.206.12,10.255.206.1,,,d6
gamecrew12,access.npf,GAMECREW12.ACCESS.NPF,WS-C2950T-24,11,10.255.206.13,10.255.206.1,,,d6
expo1.d6,access.npf,EXPO1.D6.ACCESS.NPF,WS-C2950T-24,12,10.255.206.14,10.255.206.1,,,d6
twitch1,access.npf,TWITCH1.ACCESS.NPF,WS-C2950T-24,15,10.255.210.16,10.255.210.1,11,5,20,d10
twitch2,access.npf,TWITCH2.ACCESS.NPF,WS-C2950T-24,15,10.255.210.17,10.255.210.1,14,20,d10
twitch3,access.npf,TWITCH3.ACCESS.NPF,WS-C2950T-24,15,10.255.210.18,10.255.210.1,15,20,d10
twitch4,access.npf,TWITCH4.ACCESS.NPF,WS-C2950T-24,15,10.255.210.19,10.255.210.1,18,20,d10
twitch5,access.npf,TWITCH5.ACCESS.NPF,WS-C2950T-24,15,10.255.211.16,10.255.211.1,14,20,d11
twitch6,access.npf,TWITCH6.ACCESS.NPF,WS-C2950T-24,15,10.255.211.17,10.255.211.1,17,5,20,d11
twitch7,access.npf,TWITCH7.ACCESS.NPF,WS-C2950T-24,15,10.255.211.18,10.255.211.1,14,20,d11
twitch8,access.npf,TWITCH8.ACCESS.NPF,WS-C2950T-24,15,10.255.211.19,10.255.211.1,16,20,d11
crew1.d12,access.npf,CREW1.D12.ACCESS.NPF,WS-C2950T-24,14,10.255.212.14,10.255.212.1,17,20,d12
crew2.d12,access.npf,CREW2.D12.ACCESS.NPF,WS-C2950T-24,14,10.255.212.15,10.255.212.1,12,20,d12
crew3.d12,access.npf,CREW3.D12.ACCESS.NPF,WS-C2950T-24,14,10.255.212.16,10.255.212.1,14,20,d12
crew4.d12,access.npf,CREW4.D12.ACCESS.NPF,WS-C2950T-24,14,10.255.212.17,10.255.212.1,16,20,d12
expo2.d6,access.npf,EXPO2.D6.ACCESS.NPF,WS-C2950T-24,12,10.255.206.15,10.255.206.1,,,d6
expo3.d6,access.npf,EXPO3.D6.ACCESS.NPF,WS-C2950T-24,12,10.255.206.16,10.255.206.1,,,d6
